Player,Group_ID,Role,Color_Index
Pascal Siakam,1,Core,0
Kyle Lowry,1,Core,0
Jonas Valančiūnas,1,Core,0
DeMar DeRozan,1,Core,0
Norman Powell,1,Core,0
Brandon Ingram,1,Member,0
OG Anunoby,1,Member,0
Josh Hart,1,Member,0
T.J. McConnell,1,Member,0
Jakob Poeltl,1,Member,0
CJ McCollum,1,Member,0
RJ Barrett,1,Member,0
Julius Randle,1,Member,0
Immanuel Quickley,1,Member,0
Mitchell Robinson,1,Member,0
Myles Turner,1,Member,0
Chris Boucher,1,Member,0
Kelly Olynyk,1,Member,0
Jusuf Nurkić,1,Member,0
Garrett Temple,1,Member,0
Isaiah Jackson,1,Member,0
Aaron Nesmith,1,Member,0
Trey Murphy III,1,Member,0
Jose Alvarado,1,Member,0
Herbert Jones,1,Member,0
Gary Trent Jr.,1,Member,0
Jericho Sims,1,Member,0
Zion Williamson,1,Member,0
Miles McBride,1,Member,0
Obi Toppin,1,Member,0
Bruce Brown,1,Member,0
Naji Marshall,1,Member,0
Drew Eubanks,1,Member,0
Tony Bradley,1,Member,0
Scottie Barnes,1,Member,0
Bennedict Mathurin,1,Member,0
Andrew Nembhard,1,Member,0
Quentin Grimes,1,Member,0
Precious Achiuwa,1,Member,0
Anfernee Simons,1,Member,0
Jalen Smith,1,Member,0
Ochai Agbaji,1,Member,0
Lonzo Ball,1,Member,0
Quenton Jackson,1,Member,0
James Wiseman,1,Member,0
Ben Sheppard,1,Member,0
Jarace Walker,1,Member,0
Gradey Dick,1,Member,0
Dyson Daniels,1,Member,0
Jordan Hawkins,1,Member,0
Ron Harper Jr.,1,Member,0
RayJ Dennis,1,Member,0
Johnny Furphy,1,Member,0
Jamison Battle,1,Member,0
Jonathan Mogbo,1,Member,0
Jamal Shead,1,Member,0
Ja'Kobe Walter,1,Member,0
Pacome Dadiet,1,Member,0
Ariel Hukporti,1,Member,0
Tyler Kolek,1,Member,0
Karlo Matković,1,Member,0
Yves Missi,1,Member,0
Antonio Reeves,1,Member,0
Taelon Peter,1,Member,0
Jeremiah Fears,1,Member,0
Micah Peavy,1,Member,0
Hunter Dickinson,1,Member,0
Derik Queen,1,Member,0
Mohamed Diawara,1,Member,0
Chucky Hepburn,1,Member,0
Collin Murray-Boyles,1,Member,0
Rudy Gobert,2,Core,1
Jarrett Allen,2,Core,1
Mike Conley,2,Core,1
Larry Nance Jr.,2,Core,1
Naz Reid,2,Core,1
Joe Ingles,2,Member,1
D'Angelo Russell,2,Member,1
Dean Wade,2,Member,1
Darius Garland,2,Member,1
Karl-Anthony Towns,2,Member,1
Jordan Clarkson,2,Member,1
Anthony Davis,2,Member,1
Caris LeVert,2,Member,1
Donovan Mitchell,2,Member,1
Anthony Edwards,2,Member,1
Jaden McDaniels,2,Member,1
Jarred Vanderbilt,2,Member,1
Kevin Love,2,Member,1
Jordan McLaughlin,2,Member,1
LeBron James,2,Member,1
Rui Hachimura,2,Member,1
Royce O'Neale,2,Member,1
Lauri Markkanen,2,Member,1
Nickeil Alexander-Walker,2,Member,1
Evan Mobley,2,Member,1
Collin Sexton,2,Member,1
Jaxson Hayes,2,Member,1
Isaac Okoro,2,Member,1
Josh Okogie,2,Member,1
Sam Merrill,2,Member,1
Taurean Prince,2,Member,1
Austin Reaves,2,Member,1
Max Christie,2,Member,1
Svi Mykhailiuk,2,Member,1
Luka Garza,2,Member,1
Walker Kessler,2,Member,1
Wendell Moore Jr.,2,Member,1
Josh Minott,2,Member,1
Johnny Juzang,2,Member,1
Leonard Miller,2,Member,1
Craig Porter Jr.,2,Member,1
Brice Sensabaugh,2,Member,1
Keyonte George,2,Member,1
Taylor Hendricks,2,Member,1
Christian Koloko,2,Member,1
Terrence Shannon Jr.,2,Member,1
Jaylen Clark,2,Member,1
Rob Dillingham,2,Member,1
Bronny James,2,Member,1
Dalton Knecht,2,Member,1
Luke Travers,2,Member,1
Jaylon Tyson,2,Member,1
Nae'Qwan Tomlin,2,Member,1
Isaiah Collier,2,Member,1
Kyle Filipowski,2,Member,1
Cody Williams,2,Member,1
Elijah Harkless,2,Member,1
Chris Mañon,2,Member,1
Adou Thiero,2,Member,1
Tyrese Proctor,2,Member,1
Joan Beringer,2,Member,1
Ace Bailey,2,Member,1
Walter Clayton,2,Member,1
Ivica Zubac,3,Core,2
Russell Westbrook,3,Core,2
Kevin Durant,3,Core,2
James Harden,3,Core,2
Trae Young,3,Core,2
Nicolas Batum,3,Member,2
Bogdan Bogdanović,3,Member,2
Terance Mann,3,Member,2
Clint Capela,3,Member,2
Kawhi Leonard,3,Member,2
De'Andre Hunter,3,Member,2
Jeff Green,3,Member,2
Amir Coffey,3,Member,2
Paul George,3,Member,2
Onyeka Okongwu,3,Member,2
Eric Gordon,3,Member,2
Kevin Huerter,3,Member,2
Bones Hyland,3,Member,2
Jalen Johnson,3,Member,2
John Collins,3,Member,2
Kris Dunn,3,Member,2
Steven Adams,3,Member,2
Aaron Holiday,3,Member,2
Jae'Sean Tate,3,Member,2
Garrison Mathews,3,Member,2
Alperen Şengün,3,Member,2
Vit Krejci,3,Member,2
Derrick Jones Jr.,3,Member,2
Tari Eason,3,Member,2
Jabari Smith Jr.,3,Member,2
Jalen Green,3,Member,2
Jordan Miller,3,Member,2
Kobe Brown,3,Member,2
Moussa Diabaté,3,Member,2
Jacob Toppin,3,Member,2
Saddiq Bey,3,Member,2
Amen Thompson,3,Member,2
Mouhamed Gueye,3,Member,2
Jock Landale,3,Member,2
Cam Whitmore,3,Member,2
Cam Christie,3,Member,2
Keaton Wallace,3,Member,2
Zaccharie Risacher,3,Member,2
Reed Sheppard,3,Member,2
Daeqwon Plowden,3,Member,2
Isaiah Crawford,3,Member,2
N'Faly Dante,3,Member,2
Jahmyl Telfort,3,Member,2
Kobe Sanders,3,Member,2
Yanic Konan Niederhauser,3,Member,2
Asa Newell,3,Member,2
Nikola Jokić,4,Core,3
Nikola Vučević,4,Core,3
Jamal Murray,4,Core,3
Zach LaVine,4,Core,3
Aaron Gordon,4,Core,3
Gary Harris,4,Member,3
Coby White,4,Member,3
Patrick Williams,4,Member,3
Wendell Carter Jr.,4,Member,3
Zeke Nnaji,4,Member,3
DeAndre Jordan,4,Member,3
Mason Plumlee,4,Member,3
Goga Bitadze,4,Member,3
Michael Porter Jr.,4,Member,3
Ayo Dosunmu,4,Member,3
Kentavious Caldwell-Pope,4,Member,3
Javonte Green,4,Member,3
Monte Morris,4,Member,3
Jevon Carter,4,Member,3
Franz Wagner,4,Member,3
Jalen Suggs,4,Member,3
Cole Anthony,4,Member,3
Jonathan Isaac,4,Member,3
Peyton Watson,4,Member,3
Christian Braun,4,Member,3
Dalen Terry,4,Member,3
Paolo Banchero,4,Member,3
Caleb Houstan,4,Member,3
Jalen Pickett,4,Member,3
Julian Strawther,4,Member,3
Hunter Tyson,4,Member,3
Julian Phillips,4,Member,3
Jett Howard,4,Member,3
Anthony Black,4,Member,3
